claim,value,primary_source,status,verified_date,recheck_on_record,used_in
DeepAgents Terminal Bench 2.0 gain,52.8 -> 66.5 (+13.7) model fixed gpt-5.2-codex,langchain.com/blog/improving-deep-agents-with-harness-engineering,verified,2026-07-17,no,"Ep0,Ep1,Ep3,Ep7"
DeepAgents rank move,Top 30 -> Top 5,langchain.com/blog/improving-deep-agents-with-harness-engineering,verified,2026-07-17,no,Ep1
Meta-Harness paper,arXiv 2603.28052 Lee/Nair/Zhang/Lee/Khattab/Finn 2026-03-30,sources/meta-harness-2603.28052.pdf,verified,2026-07-18,no,"Ep1,Ep5"
Meta-Harness text classification,+7.7 pts / 4x fewer tokens,sources/meta-harness-2603.28052.pdf,verified,2026-07-18,no,"Ep1,Ep5"
Meta-Harness IMO,+4.7 pts / 200 problems / 5 held-out models,sources/meta-harness-2603.28052.pdf,verified,2026-07-18,no,Ep5
Meta-Harness coding,surpasses best hand-engineered baselines on TerminalBench-2,sources/meta-harness-2603.28052.pdf,verified,2026-07-18,no,"Ep1,Ep5"
TerminalBench-2 == Terminal Bench 2.0,same benchmark (v2); sources spell it differently,cross-source,assumed,2026-07-18,yes,
OpenAI Codex ~1M lines no manual source code,internal beta product,infoq.com/news/2026/02/openai-harness-engineering-codex,verified,2026-07-18,no,Ep1
OpenAI Codex 1500 PRs / 3->7 eng / 3.5 per day / 1-10th time / five months,granular figures,openai.com/index/harness-engineering,verified,2026-09-09,no,Ep1
GPT-5.5 ARC-AGI-3,0.43% semi-private standard harness,arcprize.org/blog/arc-agi-3-gpt-5-5-opus-4-7-analysis,verified,2026-07-18,no,Ep6
Opus 4.7 ARC-AGI-3,0.18% semi-private standard harness,arcprize.org/blog/arc-agi-3-gpt-5-5-opus-4-7-analysis,verified,2026-07-18,no,Ep6
Duck leaderboard score,1.21% SELF-REPORTED (not on an ARC Prize page),x.com/tufalabs/status/2072336849465417747,self-reported,2026-07-18,yes,"Ep3,Ep6"
Duck base model,Qwen 3.6 27B FP8,tufalabs.ai/research/duck-harness,verified,2026-07-18,no,"Ep3,Ep4,Ep6"
Duck public-games mean,1.6002 +/- 0.4475 UNITS UNSTATED,tufalabs.ai/research/duck-harness,verified-unitless,2026-07-18,no,Ep6
Duck cost,order of magnitude cheaper per game vs EWM+GPT-5.4,tufalabs.ai/research/duck-harness,verified,2026-07-18,no,"Ep4,Ep6"
Duck key quote,solvability depends on model capability; cost dictated by harness,tufalabs.ai/research/duck-harness,verified,2026-07-18,no,"Ep4,Ep6,Ep8"
EWM public 25-game,58.12% RHAE GPT-5.5 15/25 solved,sources/executable-world-models-2605.05138.pdf,verified,2026-07-18,no,"Ep6,Ep8"
EWM GPT-5.4,41.29% RHAE 8/25 solved,sources/executable-world-models-2605.05138.pdf,verified,2026-07-18,no,Ep6
EWM private-set caveat,not yet available to us; remains to be tested,sources/executable-world-models-2605.05138.pdf,verified,2026-07-18,no,"Ep6,Ep8"
EWM cost,$200/mo ChatGPT Pro for roughly two to eight games,sources/executable-world-models-2605.05138.pdf,verified,2026-07-18,no,"Ep1,Ep4,Ep6"
Milestone 1 prize,$37.5K ran through June 30,arcprize.org/blog/arc-prize-2026-milestone-1,verified,2026-07-18,no,Ep6
Milestone 1 top three,Tufa Duck / Reki / forge; no scores or criteria published,arcprize.org/blog/arc-prize-2026-milestone-1,verified,2026-07-18,no,Ep6
Symbolica public set,36.08% author says unverified,symbolica.ai/blog/arc-agi-3,self-reported,2026-07-17,yes,Ep6
RHAE formula,min(1.15 (human/ai)**2),docs.arcprize.org/methodology,verified,2026-07-17,no,Ep6
Human baseline,median first-time player 458 participants SF ~100%,arcprize.org/blog/arc-agi-3-human-dataset,verified,2026-07-17,no,Ep6
ARC-AGI-1 2024,private eval 33% -> 55.5% (NOT ARC-AGI-3),sources/arc-agi-1-2412.04604.pdf,verified,2026-07-18,no,Ep6
ETCLOVG survey status,under review TMLR; 110+ papers 23+ systems,openreview.net/forum?id=3hXEPbG0dh,retired-claim-dropped,2026-09-09,no,
